pair_code,city,brand,category,female_product,male_product,female_size,male_size,retailer,date_observed,female_price_local,male_price_local,currency,female_on_promo,male_on_promo,match_quality,confidence,match_notes
GARNIER-HAIRCOLO-HYD-AUTO001,Hyderabad,Garnier,Hair Colour,Garnier Color Naturals Hair Colour Cream Women,Garnier Men Power Black Shampoo Hair Colour,100,100,Flipkart,2026-03-18,157,362,INR,0,0,3,HIGH,source=flipkart_raw.csv
GARNIER-SHAMPOO-HYD-AUTO001,Hyderabad,Garnier,Shampoo,Garnier Ultra Blends Soy Milk Shampoo 340ml,Garnier Men Anti-Dandruff Shampoo 340ml,340,340,Amazon.in,2026-03-09,899,284,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GARNIER-SHAMPOO-HYD-AUTO001,Hyderabad,Garnier,Shampoo,Garnier Ultra Blends Soy Milk Shampoo 340ml,Garnier Men Anti-Dandruff Shampoo 340ml,340,340,Blinkit,2026-03-19,301,408,INR,0,0,3,MED,source=blinkit_raw.csv
GARNIER-SHAMPOO-HYD-AUTO001,Hyderabad,Garnier,Shampoo,Garnier Ultra Blends Soy Milk Shampoo 340ml,Garnier Men Anti-Dandruff Shampoo 340ml,340,340,Flipkart,2026-03-18,244,404,INR,0,0,3,HIGH,source=flipkart_raw.csv
GILLET-RAZOR3BL-HYD-AUTO075,Hyderabad,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Smooth (handle + 2 cartridges),Gillette Mach3 (handle + 1 cartridge),100,100,Amazon.in,2026-03-09,99,349,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GILLETTE-RAZOR3BL-HYD-AUTO001,Hyderabad,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Smooth Razor,Gillette Mach3 Razor,1,1,Amazon.in,2026-03-09,99,350,INR,1,1,5,HIGH,source=amazon_in_raw.csv
GILLETTE-RAZOR3BL-HYD-AUTO002,Hyderabad,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Simply 3 Disposable Razor 3-pack,Gillette Blue3 Disposable Razor 3-pack,100,100,Amazon.in,2026-03-09,99,200,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GILLETTE-RAZOR3BL-HYD-AUTO003,Hyderabad,Gillette/Venus,Razor (3-blade starter kit),Gillette Venus Embrace Razor + 2 blades,Gillette Mach3 Razor + 2 cartridges,100,100,Amazon.in,2026-03-09,99,227,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GILLETTE-RAZORCAR-HYD-AUTO001,Hyderabad,Gillette/Venus,Razor Cartridges,Gillette Venus Smooth Cartridges 4-pack,Gillette Mach3 Cartridges 4-pack,100,100,Amazon.in,2026-03-09,99,3599,INR,1,1,3,HIGH,source=amazon_in_raw.csv
GILLETTE-RAZORCAR-HYD-AUTO002,Hyderabad,Gillette/Venus,Razor Cartridges,Gillette Venus Smooth Cartridges 6-pack,Gillette Mach3 Cartridges 6-pack,100,100,Amazon.in,2026-03-09,99,3599,INR,1,1,3,HIGH,source=amazon_in_raw.csv
